rank_test_score,mean_test_score,std_test_score,mean_train_score,mean_fit_time,params
1,0.7865188349872918,0.00322628696978857,0.8169319773006759,3.2289547125498452,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_iter': 350, 'model__max_depth': 10, 'model__learning_rate': 0.03, 'model__l2_regularization': 5.0}"
2,0.7863623602150157,0.004527076091351596,0.8220706916950098,2.234761635462443,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 15, 'model__max_iter': 350, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__l2_regularization': 5.0}"
3,0.7858867161862139,0.00492522243741721,0.8459648956626703,1.8615355491638184,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 31, 'model__max_iter': 350, 'model__max_depth': None, 'model__learning_rate': 0.1, 'model__l2_regularization': 5.0}"
4,0.7857796202298314,0.003780085483485415,0.8246305141985486,1.5136171181996663,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 31, 'model__max_iter': 350, 'model__max_depth': 5, 'model__learning_rate': 0.08, 'model__l2_regularization': 1.0}"
5,0.7857116024201476,0.004337729921837022,0.836293558483549,2.621318737665812,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 31, 'model__max_iter': 350, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__l2_regularization': 5.0}"
6,0.7856580655795962,0.0045782721234004994,0.8316538268518351,3.0945822397867837,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_iter': 250, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__l2_regularization': 5.0}"
7,0.7851761929419135,0.004108077280671409,0.8286025471877766,2.497833331425985,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 31, 'model__max_iter': 250, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.0}"
8,0.7833149965159779,0.00476533409048229,0.8841643060751805,3.8616343339284263,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_iter': 150, 'model__max_depth': None, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.1}"
9,0.7826627268221086,0.005295240061555151,0.871266455747625,2.6259093284606934,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 63, 'model__max_iter': 250, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__l2_regularization': 5.0}"
10,0.7823323582320674,0.004182372177320081,0.8709294151555517,2.328451156616211,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 63, 'model__max_iter': 350, 'model__max_depth': 10, 'model__learning_rate': 0.1, 'model__l2_regularization': 5.0}"
11,0.7820011446349913,0.004667960616323084,0.8736344985056066,3.291025479634603,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 63, 'model__max_iter': 150, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.1}"
12,0.7816695795660357,0.005160034686328068,0.8935372202972086,3.003424962361654,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_iter': 150, 'model__max_depth': None, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.0}"
